domain,description,active,domain_id
Information Security Management Program,,TRUE,ISMP
Access Control,,TRUE,AC
Human Resources Security,,TRUE,HR
Risk Management,,TRUE,RISK
Security Policy,,TRUE,POL
Organization of Information Security,,TRUE,ORG
Compliance,,TRUE,COMP
Asset Management,,TRUE,ASSET
Physical and Environmental Security,,TRUE,PHY
Communications and Operations Management,,TRUE,OPS
"Information Systems Acquisition, Development, and Maintenance",,TRUE,ADM
Information Security Incident Management,,TRUE,IM
Business Continuity Management,,TRUE,BC
Privacy Practices,,TRUE,PRI
